prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
Kaleidoscope,,2500,Condominium,3,2,2,1200,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Tennis Court, Squash Court, Club house, Minimart, Gymnasium",Air-Cond,Kuala Lumpur , Setiawangsa
3 Residen,2010,2600,Condominium,2,2,2,1206,Fully Furnished,"Sauna, Security, Barbeque area, Minimart, Playground, Swimming Pool, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur , Taman Melawati
The Nest Residences,,2200,Condominium,3,1,2,915,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Old Klang Road
Rica Residence Sentul,2021,2200,Condominium,2,,1,700,Fully Furnished,"Squash Court, Jogging Track, Lift, Swimming Pool, Gymnasium, Tennis Court, Parking, Security, Minimart, Playground, Sauna, Barbeque area, Multipurpose hall","Air-Cond, Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur , Sentul
TR Residence,,2500,Service Residence,2,1,1,710,Fully Furnished,"Playground, Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Security, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Titiwangsa
Nuri Court,,1200,Apartment,3,,2,800,Not Furnished,"Parking, Security, Playground",,Kuala Lumpur , Pandan Indah
Parkview Service Apartment,2006,2400,Condominium,1,,1,660,Fully Furnished,"Playground, Squash Court, Jogging Track, Minimart, Gymnasium, Security, Parking, Swimming Pool, Tennis Court, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , KLCC
Platinum Splendor Residensi Semarak,2020,1699,Condominium,4,,2,1065,Partially Furnished,"Minimart, Gymnasium, Squash Court, Tennis Court, Parking, Swimming Pool, Lift, Sauna, Security, Playground",,Kuala Lumpur , Keramat
The Hipster @ Taman Desa,2022,2350,Condominium,3,2,2,921,Fully Furnished,"Squash Court, Security, Playground, Swimming Pool, Parking, Gymnasium, Lift, Minimart",,Kuala Lumpur , Taman Desa
Kiara Ville,2007,4900,Condominium,3,2,3,1907,Fully Furnished,"Gymnasium, Playground, Swimming Pool, Tennis Court, Jogging Track, Barbeque area, Sauna, Parking, Security, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Mont Kiara
Seasons Garden Residences @ Wangsa Maju,2017,1599,Apartment,3,1,2,770,Partially Furnished,"Security, Playground, Swimming Pool, Gymnasium, Parking, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Wangsa Maju
Mutiara Magna,,950,Apartment,3,,2,670,Not Furnished,"Playground, Lift, Security","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
Anjung Hijau,,1950,Condominium,3,1,2,1100,Fully Furnished,"Playground, Security, Parking, Minimart, Jogging Track, Barbeque area, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Jalil
G Residence @ Desa Pandan,2015,2700,Service Residence,2,2,2,1044,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Desa Pandan
The Lumayan Apartment,,1600,Apartment,3,,2,830,Fully Furnished,"Parking, Security, Minimart, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Cheras
Bayu Tasik 2,1998,1500,Condominium,3,1,2,960,Fully Furnished,"Security, Playground, Gymnasium, Parking, Swimming Pool, Lift",,Kuala Lumpur , Cheras
Platinum Splendor Residensi Semarak,2020,1800,Condominium,3,2,2,926,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Keramat
Residency V,2017,2200,Service Residence,3,2,2,950,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Old Klang Road
Setia SKY Residences,2011,4500,Condominium,4,2,3,1200,Fully Furnished,"Security, Minimart, Club house, Parking, Swimming Pool, Gymnasium, Barbeque area, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , KLCC
Southbank Residence,2017,1900,Service Residence,2,,2,770,Fully Furnished,"Security, Swimming Pool, Jogging Track, Barbeque area, Multipurpose hall, Gymnasium",,Kuala Lumpur , Old Klang Road
Platinum Splendor Residensi Semarak,2020,2000,Condominium,4,2,2,1184,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Keramat
G Residence @ Desa Pandan,2015,2700,Service Residence,2,2,2,1044,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Desa Pandan
Platinum Splendor Residensi Semarak,2020,1800,Condominium,4,2,2,1184,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Keramat
Putra Majestik,2008,1600,Condominium,3,2,2,1030,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Jogging Track, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Jalan Ipoh
Majestic Maxim,2021,1500,Service Residence,2,1,2,650,Partially Furnished,"Jogging Track, Swimming Pool, Gymnasium, Barbeque area, Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
M Vertica,2023,2800,Condominium,4,2,2,1000,Fully Furnished,"Tennis Court, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Lift, Jogging Track, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Solaris Parq,,4500,Service Residence,2,2,2,1080,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Solaris Dutamas
Residensi Kepongmas 2,2021,1200,Apartment,3,,2,850,Partially Furnished,"Multipurpose hall, Parking, Security, Lift, Playground","Near KTM/LRT, Cooking Allowed, Washing Machine",Kuala Lumpur , Kepong
Cerrado,,1600,Condominium,3,2,2,825,Partially Furnished,"Security, Playground, Parking",,Kuala Lumpur , Sungai Besi
Legasi Kampong Bharu,2020,3300,Service Residence,3,,2,805,Fully Furnished,"Security, Swimming Pool, Tennis Court, Lift, Parking, Minimart, Playground, Gymnasium, Squash Court, Jogging Track",,Kuala Lumpur , KL City
"The Veo, Kuala Lumpur",2017,4300,Condominium,3,2,2,1442,Fully Furnished,"Parking, Playground, Minimart, Security, Lift, Club house, Gymnasium, Multipurpose hall, Barbeque area, Swimming Pool","Air-Cond, Washing Machine",Kuala Lumpur , Setapak
Queensville,,1500,Condominium,1,2,1,526,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Wangsa 9 Residency,2019,4500,Condominium,3,2,3,1690,Fully Furnished,"Minimart, Gymnasium, Jogging Track, Tennis Court, Squash Court, Security, Swimming Pool, Sauna, Parking, Playground, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Wangsa Maju
Casa Idaman,2010,1400,Condominium,3,1,2,1047,Partially Furnished,,,Kuala Lumpur , Jalan Ipoh
28 Boulevard,2019,1600,Apartment,1,1,1,450,Fully Furnished,"Swimming Pool, Squash Court, Jogging Track, Playground, Lift, Parking, Security, Minimart, Gymnasium, Tennis Court",,Kuala Lumpur , Pandan Perdana
Bayu Sentul Condominium,2015,1800,Condominium,3,2,2,1300,Partially Furnished,,,Kuala Lumpur , Sentul
Dahlia Apartment (Ampang),,1100,Apartment,3,,2,787,Not Furnished,"Barbeque area, Club house, Minimart, Playground, Squash Court, Security, Swimming Pool, Gymnasium, Tennis Court",,Kuala Lumpur , Ampang
Emerald Hills,2025,2000,Condominium,2,2,2,893,Partially Furnished,"Jogging Track, Barbeque area, Sauna, Security, Club house, Playground, Swimming Pool, Parking",,Kuala Lumpur , Cheras
Lavile,2021,2600,Service Residence,2,1,2,850,Fully Furnished,"Gymnasium, Multipurpose hall, Security, Swimming Pool, Barbeque area",,Kuala Lumpur , Cheras
Delima J Apartment,,1400,Apartment,3,1,2,900,Partially Furnished,,,Kuala Lumpur , Desa Pandan
Bayu Tasik 1,1999,1300,Condominium,3,1,2,920,Partially Furnished,"Security, Minimart, Playground, Gymnasium, Parking, Swimming Pool, Barbeque area",,Kuala Lumpur , Cheras
The Sky Residence @ Shamelin,2019,1700,Service Residence,2,1,2,668,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
Pantai Hillpark 5,,1800,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Playground, Swimming Pool, Security, Parking, Gymnasium, Squash Court",,Kuala Lumpur , Bangsar South
The Birch,2023,2000,Service Residence,2,,1,611,Partially Furnished,"Swimming Pool, Playground, Gymnasium, Jogging Track, Barbeque area, Security, Multipurpose hall, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Jalan Ipoh
Sri Rakyat Apartment,,800,Apartment,3,,2,670,Not Furnished,"Parking, Lift, Playground, Minimart",,Kuala Lumpur , Bukit Jalil
Pangsapuri Sri Malaysia,,900,Flat,3,,2,650,Fully Furnished,"Parking, Security, Playground, Lift, Minimart, Multipurpose hall","Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur , Bandar Tasik Selatan
PV9 Residences @ Taman Melati,2022,2000,Service Residence,4,2,2,1100,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Setapak
Tiffani Kiara,2009,2600,Condominium,1,1,1,815,Fully Furnished,"Swimming Pool, Gymnasium, Barbeque area, Sauna, Tennis Court, Squash Court, Parking, Security, Club house, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Mont Kiara
,,2500,Service Residence,1,,1,650,Fully Furnished,"Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
,,2900,Condominium,1,1,1,751,Fully Furnished,"Swimming Pool, Gymnasium, Security, Lift, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , City Centre
ViiA Residences @ KL Eco City,2020,3400,Service Residence,1,1,1,632,Fully Furnished,"Barbeque area, Security, Swimming Pool, Playground, Sauna, Parking, Gymnasium",,Kuala Lumpur , KL Eco City
Mentari Condominium,,1700,Condominium,3,1,2,1025,Partially Furnished,"Parking, Swimming Pool, Playground, Gymnasium, Security","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
,,2400,Service Residence,1,,1,1100,Fully Furnished,"Sauna, Squash Court, Swimming Pool, Gymnasium, Security, Lift, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
,,2200,Service Residence,1,1,1,650,Fully Furnished,"Swimming Pool, Sauna, Gymnasium, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
,,4300,Service Residence,3,,2,1841,Fully Furnished,"Gymnasium, Parking, Playground, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
,,2100,Service Residence,1,,1,650,Fully Furnished,"Sauna, Squash Court, Swimming Pool, Gymnasium, Lift, Security, Playground, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Bukit Bintang
,,1800,Condominium,3,2,2,1000,Partially Furnished,"Security, Gymnasium, Jogging Track, Barbeque area, Sauna, Parking, Playground, Swimming Pool, Multipurpose hall","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
Parc 3,2021,2200,Service Residence,2,1,2,737,Fully Furnished,"Playground, Lift, Barbeque area, Jogging Track, Multipurpose hall, Parking, Gymnasium, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Chelsea,,1500,Service Residence,1,,1,600,Fully Furnished,"Parking, Sauna, Gymnasium, Tennis Court, Multipurpose hall, Club house, Minimart, Playground, Swimming Pool, Security, Jogging Track",,Kuala Lumpur , Sri Hartamas
Legasi Kampong Bharu,2020,3500,Apartment,3,1,2,950,Fully Furnished,"Parking, Security, Tennis Court, Squash Court, Jogging Track, Lift, Minimart, Playground, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , KL City
"Fera Residence @ The Quartz, Wangsa Maju",,2200,Service Residence,3,2,2,1300,Partially Furnished,"Parking, Swimming Pool, Security, Lift, Playground, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Wangsa Maju
Cengal Condominium,2001,1550,Condominium,3,1,2,850,Fully Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Cheras
Sky Awani Residensi,,1300,Condominium,3,1,2,800,Partially Furnished,"Parking, Playground, Swimming Pool, Jogging Track, Club house, Security, Minimart, Barbeque area, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Sentul
Pangsapuri Desa Tenaga,,1000,Apartment,3,1,2,800,Partially Furnished,"Parking, Security, Lift, Playground",,Kuala Lumpur , Old Klang Road
The Haute,2019,1800,Condominium,3,2,2,1005,Fully Furnished,"Swimming Pool, Multipurpose hall, Gymnasium, Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur , Keramat
Damai Hillpark,2015,1700,Service Residence,3,2,2,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Bandar Damai Perdana
,,2200,Service Residence,2,,1,624,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
Lakeville Residence,2017,2000,Condominium,3,2,2,1330,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Jalan Ipoh
Danau Permai,1996,2500,Condominium,2,1,2,1004,Fully Furnished,"Minimart, Swimming Pool, Squash Court, Parking, Security, Playground, Barbeque area, Sauna, Tennis Court, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur , Taman Desa
Casa Desa Condominium,2008,2000,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Gymnasium, Sauna, Parking, Security, Playground, Swimming Pool, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Taman Desa
Irama Wangsa,2018,3000,Condominium,3,2,2,1335,Fully Furnished,"Parking, Security, Barbeque area, Multipurpose hall, Playground, Club house, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Wangsa Maju
Vantage Point,,1100,Condominium,3,,2,869,Partially Furnished,"Security, Tennis Court, Playground, Parking, Gymnasium, Swimming Pool, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Desa Petaling
Mentari Condominium,,1700,Condominium,3,1,2,1025,Fully Furnished,"Swimming Pool, Gymnasium, Parking, Security, Playground, Lift, Barbeque area, Minimart, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Sunway Velocity,2014,3000,Condominium,3,1,2,1068,Fully Furnished,"Lift, Parking, Security, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
Lexa Residence @ The Quartz WM,,1650,Service Residence,3,1,2,850,Partially Furnished,"Parking, Security, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Wangsa Maju
Lido Residency,2016,1600,Condominium,2,1,2,962,Partially Furnished,"Gymnasium, Barbeque area, Parking, Playground, Swimming Pool, Multipurpose hall, Security, Jogging Track, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
Seksyen 4 Wangsa Maju Flat Block A,,200000,Flat,2,,1,553,Not Furnished,"Sauna, Parking",,Kuala Lumpur , Wangsa Maju
Perdana Villa (Pandan Perdana),,1100,Apartment,2,1,2,800,Not Furnished,"Parking, Security",Cooking Allowed,Kuala Lumpur , Cheras
Danau Permai,1996,2100,Condominium,2,1,2,685,Fully Furnished,"Parking, Squash Court, Playground, Swimming Pool, Gymnasium, Barbeque area, Sauna, Security, Minimart, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur , Taman Desa
Menara Hartamas,2005,2300,Condominium,3,,2,1500,Partially Furnished,"Squash Court, Sauna, Minimart, Playground, Swimming Pool, Gymnasium, Barbeque area, Security, Tennis Court, Multipurpose hall, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur , Sri Hartamas
Residensi Vista Wirajaya,,1500,Apartment,3,1,2,884,Not Furnished,"Swimming Pool, Playground, Parking",,Kuala Lumpur , Setapak
Majestic Maxim,2021,1200,Service Residence,2,1,2,650,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Security, Parking, Lift, Barbeque area, Jogging Track","Near KTM/LRT, Cooking Allowed, Air-Cond",Kuala Lumpur , Cheras
SkyMeridien Residences @ Sentul East,2022,3000,Service Residence,3,,2,982,Fully Furnished,"Security, Minimart, Gymnasium, Barbeque area, Swimming Pool, Tennis Court, Squash Court, Lift, Playground, Jogging Track, Sauna, Multipurpose hall, Club house, Parking",Air-Cond,Kuala Lumpur , Sentul
Invito Suites (Capri),,2000,Condominium,1,1,1,638,Fully Furnished,,,Kuala Lumpur , Bangsar South
Inwood Residences @ Pantai Sentral Park,2019,3200,Condominium,3,2,2,1235,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Pantai
Danau Idaman,2000,1700,Condominium,3,1,2,938,Fully Furnished,"Minimart, Tennis Court, Sauna, Parking, Security, Playground, Swimming Pool, Gymnasium, Squash Court","Cooking Allowed, Air-Cond, Washing Machine",Kuala Lumpur , Taman Desa
Brem Park 1,1980,1500,Condominium,3,1,2,1600,Partially Furnished,"Parking, Club house, Minimart, Squash Court, Security, Playground, Swimming Pool, Jogging Track, Barbeque area",,Kuala Lumpur , Old Klang Road
Menara Avenue,,2800,Condominium,2,1,2,1520,Fully Furnished,"Barbeque area, Security, Parking, Swimming Pool, Sauna, Gymnasium","Air-Cond, Near KTM/LRT, Washing Machine",Kuala Lumpur , KLCC
The Scott Garden,2011,1300,Duplex,1,1,2,775,Not Furnished,"Lift, Swimming Pool, Playground, Security, Parking, Club house, Gymnasium, Sauna, Jogging Track, Barbeque area, Minimart, Multipurpose hall, Squash Court, Tennis Court",Air-Cond,Kuala Lumpur , Old Klang Road
Suasana Lumayan,2015,1750,Condominium,4,1,2,1142,Fully Furnished,"Minimart, Gymnasium, Security, Playground, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Cheras
,,2800,Condominium,3,1,2,1215,Fully Furnished,"Security, Barbeque area, Playground, Multipurpose hall, Swimming Pool, Gymnasium, Sauna, Minimart, Lift, Parking, Jogging Track","Air-Cond, Cooking Allowed",Kuala Lumpur , Kuchai Lama
,,5000,Service Residence,3,2,2,1300,Fully Furnished,"Sauna, Gymnasium, Swimming Pool, Squash Court, Lift, Security, Parking, Playground, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Bukit Bintang
,,4000,Service Residence,2,1,2,750,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall, Squash Court, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
,,2400,Service Residence,2,1,2,750,Fully Furnished,"Sauna, Swimming Pool, Squash Court, Gymnasium, Lift, Security, Parking, Playground, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Bintang
Ascenda Residences @ SkyArena Setapak,2017,2650,Condominium,3,2,2,908,Fully Furnished,"Parking, Swimming Pool, Barbeque area, Security, Jogging Track, Multipurpose hall, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Setapak
Danau Idaman,2000,1400,Condominium,3,1,2,930,Partially Furnished,"Playground, Tennis Court, Parking, Minimart, Gymnasium, Security, Squash Court, Swimming Pool, Sauna",,Kuala Lumpur , Taman Desa
Legend Height,,1800,Service Residence,3,2,2,1050,Partially Furnished,"Security, Playground, Parking, Gymnasium, Multipurpose hall, Lift, Swimming Pool","Air-Cond, Cooking Allowed",Kuala Lumpur , Segambut
Desa Angkasa,,3200,Condominium,2,1,2,1227,Fully Furnished,"Tennis Court, Swimming Pool, Gymnasium, Sauna, Security, Minimart, Club house, Playground, Squash Court, Jogging Track, Parking",,Kuala Lumpur , Ampang Hilir
Gembira Residen (G Residence),2013,2950,Condominium,3,2,2,1200,Fully Furnished,"Minimart, Playground, Squash Court, Lift, Security, Jogging Track, Parking, Gymnasium, Tennis Court, Sauna, Multipurpose hall, Club house, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Kuchai Lama
,,1600,Service Residence,3,2,2,1138,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Jalan Ipoh
Mentari Condominium,,1700,Condominium,3,1,2,1025,Partially Furnished,"Parking, Swimming Pool, Security, Playground, Gymnasium, Lift","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Kuala Lumpur , Cheras
,,4500,Service Residence,2,1,2,1098,Fully Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Minimart, Barbeque area, Sauna, Gymnasium, Club house, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Keramat
,,3900,Service Residence,2,1,2,775,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Keramat
Vue Residences,2013,2000,Service Residence,3,,2,1003,Partially Furnished,"Security, Playground, Swimming Pool, Gymnasium, Barbeque area, Sauna, Multipurpose hall",,Kuala Lumpur , Titiwangsa
Anjung Hijau,,1900,Condominium,3,,2,1100,Fully Furnished,"Parking, Barbeque area, Jogging Track, Playground, Minimart, Security",,Kuala Lumpur , Bukit Jalil
Suria Stonor,2008,7000,Condominium,4,2,4,3283,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , KLCC
Abadi Indah,,1200,Condominium,3,1,2,830,Partially Furnished,"Squash Court, Swimming Pool, Gymnasium, Parking, Security, Minimart, Playground, Tennis Court",,Kuala Lumpur , Taman Desa
G Residence @ Desa Pandan,2015,2300,Service Residence,2,2,2,1087,Fully Furnished,"Security, Multipurpose hall, Swimming Pool, Gymnasium, Parking, Lift","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Desa Pandan
Bandar Tasik Selatan (Low Cost),,900,Flat,3,,2,650,Partially Furnished,"Lift, Playground, Minimart",Near KTM/LRT,Kuala Lumpur , Cheras
Pinggiran Kiara,,2499,Condominium,2,1,2,1200,Fully Furnished,"Swimming Pool, Lift, Security, Parking, Gymnasium","Air-Cond, Washing Machine",Kuala Lumpur , Taman Tun Dr Ismail
i-Zen @ Kiara 1,2008,3100,Condominium,4,2,3,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Mont Kiara
SkyLuxe On The Park,,2300,Service Residence,3,2,2,1060,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Sauna, Barbeque area, Gymnasium, Multipurpose hall, Club house, Jogging Track, Squash Court, Tennis Court, Minimart","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT, Internet",Kuala Lumpur , Bukit Jalil
Anyaman Residence,2016,1700,Condominium,3,1,2,935,Fully Furnished,"Security, Barbeque area, Swimming Pool, Gymnasium, Jogging Track, Playground, Multipurpose hall, Parking, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Kuchai Lama
i-Zen @ Kiara 1,2008,3100,Condominium,4,2,3,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Mont Kiara
i-Zen @ Kiara 1,2008,3300,Condominium,4,2,3,1362,Fully Furnished,"Playground, Barbeque area, Sauna, Parking, Security, Gymnasium, Squash Court, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Mont Kiara
,,2400,Condominium,4,1,4,1381,Not Furnished,"Sauna, Gymnasium, Parking, Playground, Swimming Pool, Security, Jogging Track, Barbeque area, Lift, Multipurpose hall, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Sentul
PV18 Residence,,1400,Service Residence,3,,2,926,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house, Tennis Court","Air-Cond, Near KTM/LRT, Washing Machine, Cooking Allowed",Kuala Lumpur , Setapak
