prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
Prisma Cheras,,1100,Condominium,1,1,1,900,Partially Furnished,"Swimming Pool, Barbeque area, Sauna, Security, Gymnasium, Tennis Court, Squash Court, Parking, Playground",,Kuala Lumpur , Cheras
Menara Alpha,,1400,Condominium,3,1,2,1140,Not Furnished,"Parking, Minimart, Security, Gymnasium, Swimming Pool, Playground",,Kuala Lumpur , Wangsa Maju
Berlian Residence @ Setapak,,1500,Condominium,3,1,2,900,Not Furnished,"Parking, Security, Lift, Swimming Pool, Multipurpose hall",,Kuala Lumpur , Setapak
28 Dutamas,2017,2500,Condominium,4,2,3,1500,Partially Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur , Solaris Dutamas
28 Dutamas,2017,2900,Condominium,4,2,3,1719,Fully Furnished,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium","Air-Cond, Cooking Allowed",Kuala Lumpur , Solaris Dutamas
Pangsapuri Melur (Sentul),2006,1750,Apartment,3,,2,1065,Partially Furnished,,,Kuala Lumpur , Sentul
Residensi Vista Wirajaya,,1800,Apartment,3,1,2,885,Fully Furnished,,,Kuala Lumpur , Setapak
Bayu Sentul Condominium,2015,1900,Condominium,3,2,2,1300,Partially Furnished,,,Kuala Lumpur , Sentul
Flexus Signature Suites,,1500,Studio,1,1,1,530,Fully Furnished,"Parking, Security, Sauna, Multipurpose hall, Swimming Pool, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Kuching
Menjalara 18,,2400,Condominium,3,1,2,1316,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Bandar Menjalara
G Residence @ Desa Pandan,2015,4500,Service Residence,3,2,2,1539,Fully Furnished,"Multipurpose hall, Security, Gymnasium, Swimming Pool","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Desa Pandan
Greenpark,1999,1400,Condominium,3,1,2,1270,Partially Furnished,"Parking, Security, Tennis Court, Swimming Pool, Playground, Lift, Jogging Track, Minimart, Gymnasium, Barbeque area","Air-Cond, Cooking Allowed, Internet",Kuala Lumpur , Old Klang Road
Majestic Maxim,2021,1800,Service Residence,3,1,2,819,Partially Furnished,"Security, Swimming Pool, Lift, Gymnasium, Barbeque area, Jogging Track, Parking, Playground, Minimart, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Internet",Kuala Lumpur , Cheras
Baiduri Apartment (Desa Pandan),,1500,Apartment,3,1,2,950,Partially Furnished,"Security, Parking",,Kuala Lumpur , Desa Pandan
Bennington Residences @ SkyArena,2019,3000,Condominium,3,2,2,1200,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Internet",Kuala Lumpur , Setapak
Sri Putramas,2004,1600,Condominium,3,1,2,1100,Fully Furnished,"Minimart, Swimming Pool, Sauna, Playground, Gymnasium, Security, Tennis Court, Barbeque area, Parking","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Jalan Kuching
Putra Villa,2007,1800,Condominium,3,,2,1066,Fully Furnished,,,Kuala Lumpur , Setapak
38 Bidara,,2100,Condominium,2,,2,706,Fully Furnished,"Minimart, Swimming Pool, Sauna, Parking, Security, Gymnasium, Barbeque area, Club house, Playground",,Kuala Lumpur , KLCC
3 Towers,2015,2500,Condominium,2,1,1,890,Fully Furnished,"Security, Gymnasium, Multipurpose hall, Parking, Barbeque area, Swimming Pool",,Kuala Lumpur , Ampang Hilir
One Maxim,2020,1300,Service Residence,2,1,2,650,Partially Furnished,"Jogging Track, Playground, Parking, Swimming Pool, Gymnasium, Sauna, Multipurpose hall, Security, Barbeque area",,Kuala Lumpur , Sentul
Casa Mutiara,2007,2000,Service Residence,2,1,2,742,Fully Furnished,"Gymnasium, Sauna, Parking, Playground, Security, Swimming Pool, Barbeque area",,Kuala Lumpur , Bukit Bintang
Sofiya Residences,,2000,Condominium,3,1,2,862,Fully Furnished,"Security, Playground","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Desa ParkCity
Laman Tasik,2002,2100,Condominium,4,1,3,1300,Fully Furnished,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",,Kuala Lumpur , Cheras
Residensi Seri Wahyu @ Jalan Kuching KL,,1300,Apartment,3,1,2,805,Partially Furnished,"Squash Court, Jogging Track, Gymnasium, Parking, Swimming Pool, Lift, Security, Playground, Minimart",,Kuala Lumpur , KL City
The Hamilton,2020,2600,Condominium,4,2,2,1000,Fully Furnished,"Playground, Jogging Track, Multipurpose hall, Parking, Swimming Pool, Barbeque area, Security, Gymnasium",,Kuala Lumpur , Wangsa Maju
3 Towers,2015,2000,Service Residence,1,1,1,440,Fully Furnished,"Barbeque area, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",,Kuala Lumpur , Ampang Hilir
Menjalara 18,,2500,Condominium,5,2,3,1600,Fully Furnished,"Barbeque area, Swimming Pool, Gymnasium, Club house, Minimart, Squash Court, Parking, Sauna","Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Bandar Menjalara
The Havre @ Bukit Jalil,2020,2500,Condominium,3,2,2,1028,Fully Furnished,"Security, Squash Court, Jogging Track, Lift, Multipurpose hall, Minimart, Swimming Pool, Gymnasium, Barbeque area, Sauna, Club house, Parking, Playground, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Bukit Jalil
,,2000,Condominium,4,,2,940,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setapak
,,1800,Condominium,3,1,2,860,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Playground, Lift, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setapak
,,1700,Condominium,3,2,2,1100,Partially Furnished,Swimming Pool,Air-Cond,Kuala Lumpur , Jalan Kuching
,,1600,Condominium,4,1,2,914,Partially Furnished,"Swimming Pool, Squash Court, Security, Parking, Lift, Tennis Court, Jogging Track, Gymnasium, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setapak
,,2000,Condominium,3,2,2,1100,Fully Furnished,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Security, Parking, Jogging Track, Lift, Playground, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Jalan Kuching
